"カード名","効果","属性","タイプ"
"挑発の流し目","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす","煽り","攻撃"
"煽りの二段活用","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。次に使う攻撃カードのコストを1軽減する","煽り","攻撃"
"正論パンチ","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす","正論","攻撃"
"議事録の突きつけ","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。相手が次に使う防御カードを1回不発にする","正論","攻撃"
"遠回しな嫌味","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす。相手の手札を見る","皮肉","攻撃"
"褒め殺しの刃","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。相手の次の怒り獲得を1打ち消す","皮肉","攻撃"
"自虐からのカウンター","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす。自分の誇りを1回復する（最大値を超えない）","自虐からの逆転","攻撃"
"谷底からの這い上がり","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。自分の誇りが半分以下のとき、追加で2減らす","自虐からの逆転","攻撃"
"軽くいなす","次に受けるダメージを3軽減する","なし","防御"
"話をすり替える","次に受ける攻撃を1回無効化する","なし","防御"
"無言の圧","次に受けるダメージを2軽減する。相手の次の怒り獲得を1打ち消す","なし","防御"
"深呼吸で冷静に","自分の誇りを3回復する（最大値を超えない）","なし","強化"
"場の空気を読む","相手の弱点属性のヒントを得る","なし","強化"
"怒りを飲み込む","怒りを2獲得する（代わりに自分の誇りを1失う）","なし","強化"
"積年の恨み節","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。次に使う攻撃カードのコストを1軽減する","煽り","攻撃"
"完全論破","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。相手が次に使う防御カードを1回不発にする","正論","攻撃"
"笑顔の刃","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。相手の手札を見る","皮肉","攻撃"
"覚悟の逆襲","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りを2回復する（最大値を超えない）","自虐からの逆転","攻撃"
"格の違いを見せつける一言","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。怒りを2獲得する","煽り","攻撃"
"完膚なきまでの正論","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。相手の次のターンのコスト予算を1減らす","正論","攻撃"
"起死回生の啖呵","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りが半分以下のとき、追加で4減らす","自虐からの逆転","攻撃"
"鉄壁の受け流し","次に受けるダメージを9軽減する","なし","防御"
"怒りの解放","怒りを6獲得する（代わりに自分の誇りを1失う）","なし","強化"
"「で、結論は？」","次に受けるダメージを2軽減する。次に使う攻撃カードのコストを1軽減する","なし","防御"
"苦笑いでかわす","次に受けるダメージを2軽減する。怒りを1獲得する","なし","防御"
"揚げ足取りの構え","次に受けるダメージを4軽減する。相手の次のターンのコスト予算を1減らす","なし","防御"
"心のシャッター","次に受けるダメージを6軽減する","なし","防御"
"全肯定バリア","次に受けるダメージを6軽減する。自分の誇りを3回復する（最大値を超えない）","なし","防御"
"沈黙の結界","次に受けるダメージを3軽減する。相手の次の怒り獲得を2打ち消す","なし","防御"
"闘志の火付け","怒りを2獲得する","なし","強化"
"セルフ演説","怒りを4獲得する","なし","強化"
"傷を舐める","自分の誇りを6回復する（最大値を超えない）","なし","強化"
"開き直り","自分の誇りを2回復する（最大値を超えない）。怒りを1獲得する","なし","強化"
"聞き耳を立てる","相手の手札を見る","なし","強化"
"勝利の妄想","自分の誇りを4回復する（最大値を超えない）。怒りを3獲得する","なし","強化"
"鼻で笑う","誇りを1減らす。相手の弱点属性と一致する場合、追加で1減らす","煽り","攻撃"
"矛盾の指摘","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。次に使う攻撃カードのコストを1軽減する","正論","攻撃"
"丁寧すぎる嫌味","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。相手の次の怒り獲得を2打ち消す","皮肉","攻撃"
"失敗談からの逆襲","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りを4回復する（最大値を超えない）","自虐からの逆転","攻撃"
"マウントの小手調べ","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りが半分以下のとき、追加で4減らす","煽り","攻撃"
"証拠のスクリーンショット","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす","正論","攻撃"
"遠回しな追撃","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。怒りを1獲得する","皮肉","攻撃"
"弱みを笑いに変える","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。次に受けるダメージを3軽減する","自虐からの逆転","攻撃"
"上から目線の採点","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす","煽り","攻撃"
"反論封じの三段論法","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。次に使う攻撃カードのコストを1軽減する","正論","攻撃"
"拍手という名の皮肉","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす。相手の次の怒り獲得を1打ち消す","皮肉","攻撃"
"黒歴史の開き直り","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。自分の誇りを2回復する（最大値を超えない）","自虐からの逆転","攻撃"
"余裕のあくび","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りが半分以下のとき、追加で3減らす","煽り","攻撃"
"数字で殴る","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。相手が次に使う防御カードを1回不発にする","正論","攻撃"
"お世辞の毒針","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。怒りを3獲得する","皮肉","攻撃"
"自爆覚悟の暴露","誇りを1減らす。相手の弱点属性と一致する場合、追加で1減らす。次に受けるダメージを1軽減する","自虐からの逆転","攻撃"
"煽り散らかし","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす","煽り","攻撃"
"規約全文朗読","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。次に使う攻撃カードのコストを1軽減する","正論","攻撃"
"満面の営業スマイル","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。相手の次の怒り獲得を2打ち消す","皮肉","攻撃"
"土壇場の強がり","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りを5回復する（最大値を超えない）","自虐からの逆転","攻撃"
"王者のため息","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす。自分の誇りが半分以下のとき、追加で2減らす","煽り","攻撃"
"最終弁論","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。相手が次に使う防御カードを1回不発にする","正論","攻撃"
"祝辞に見せた宣戦布告","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。怒りを2獲得する","皮肉","攻撃"
"敗者復活の咆哮","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。次に受けるダメージを4軽減する","自虐からの逆転","攻撃"
"公開処刑の前口上","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす","煽り","攻撃"
"逃げ道ゼロの検証","誇りを2減らす。相手の弱点属性と一致する場合、追加で1減らす。次に使う攻撃カードのコストを1軽減する","正論","攻撃"
"沈黙を裂く一言","誇りを3減らす。相手の弱点属性と一致する場合、追加で1減らす。相手の次の怒り獲得を2打ち消す","皮肉","攻撃"
"どん底からの大逆転","誇りを5減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りを3回復する（最大値を超えない）","自虐からの逆転","攻撃"
"伝説級の煽り文句","誇りを6減らす。相手の弱点属性と一致する場合、追加で2減らす。自分の誇りが半分以下のとき、追加で3減らす","煽り","攻撃"
"結論だけで完全論破","誇りを8減らす。相手の弱点属性と一致する場合、追加で2減らす。相手が次に使う防御カードを1回不発にする","正論","攻撃"
"聞こえないふり","次に受けるダメージを3軽減する","なし","防御"
"既読スルー","次に受けるダメージを2軽減する。怒りを1獲得する","なし","防御"
"論点整理ノート","次に受けるダメージを5軽減する。相手の弱点属性のヒントを得る","なし","防御"
"大人の対応","次に受けるダメージを4軽減する。自分の誇りを2回復する（最大値を超えない）","なし","防御"
"鉄面皮","次に受けるダメージを9軽減する","なし","防御"
"完璧なポーカーフェイス","次に受けるダメージを7軽減する。怒りを2獲得する","なし","防御"
"華麗な話題転換","次に受ける攻撃を1回無効化する。自分の誇りを3回復する（最大値を超えない）","なし","防御"
"絶対領域の沈黙","次に受けるダメージを15軽減する","なし","防御"
"逆質問の盾","次に受けるダメージを4軽減する。次に使う攻撃カードのコストを1軽減する","なし","防御"
"心を無にする","次に受けるダメージを6軽減する。相手の次の怒り獲得を2打ち消す","なし","防御"
"笑ってごまかす","次に受けるダメージを2軽減する。自分の誇りを1回復する（最大値を超えない）","なし","防御"
"専門外です","次に受けるダメージを5軽減する。相手の手札を見る","なし","防御"
"記憶にございません","次に受ける攻撃を1回無効化する","なし","防御"
"反論準備中","次に受けるダメージを7軽減する。次に使う攻撃カードのコストを2軽減する","なし","防御"
"集団心理バリア","次に受けるダメージを9軽減する。自分の誇りを3回復する（最大値を超えない）","なし","防御"
"無敵の開き直り","次に受けるダメージを10軽減する。怒りを2獲得する","なし","防御"
"完全黙秘","次に受ける攻撃を1回無効化する。次に受けるダメージを6軽減する","なし","防御"
"鋼のメンタル","次に受けるダメージを12軽減する。自分の誇りを4回復する（最大値を超えない）","なし","防御"
"次回に持ち越し","次に受けるダメージを4軽減する。相手の次のターンのコスト予算を1減らす","なし","防御"
"最終防衛ライン","次に受けるダメージを10軽減する。怒りを4獲得する","なし","防御"
"次の一手を読む","このターン、カードを1枚引く","なし","強化"
"情報収集","このターン、カードを2枚引く","なし","強化"
"作戦会議","このターン、カードを3枚引く","なし","強化"
"ひらめきの連鎖","このターン、カードを5枚引く","なし","強化"
"手札への小言","相手の手札をランダムに1枚捨てさせる","なし","強化"
"選択肢を奪う","相手の手札をランダムに2枚捨てさせる","なし","強化"
"計画の破棄命令","相手の手札をランダムに3枚捨てさせる","なし","強化"
"ちゃぶ台返し","相手の手札をすべて捨てさせる","なし","強化"
"小さな足止め","相手の次のターンのコスト予算を1減らす","なし","強化"
"予定の横やり","相手の次のターンのコスト予算を2減らす","なし","強化"
"面倒な追加確認","相手の次のターンのコスト予算を3減らす","なし","強化"
"終わらない再審査","相手の次のターンのコスト予算を4減らす","なし","強化"
"全面差し戻し","相手の次のターンのコスト予算を5減らす","なし","強化"
"自己肯定タイム","自分の誇りを3回復する（最大値を超えない）","なし","強化"
"怒りの貯金","怒りを4獲得する","なし","強化"
"弱点分析","相手の弱点属性のヒントを得る。このターン、カードを1枚引く","なし","強化"
"先回りの準備","次に使う攻撃カードのコストを2軽減する。このターン、カードを1枚引く","なし","強化"
"不屈の自己暗示","自分の誇りを8回復する（最大値を超えない）。怒りを3獲得する","なし","強化"
"怒りの臨界点","怒りを10獲得する（代わりに自分の誇りを1失う）","なし","強化"
"心技一体","自分の誇りを7回復する（最大値を超えない）。怒りを5獲得する","なし","強化"
"女王様の罵倒","誇りを9減らす","なし","攻撃"
"BGの正論爆撃","誇りを7減らす。相手が次に使う防御カードを1回不発にする","なし","攻撃"
"しんごのスッキリタイム","誇りを6減らす。自分の誇りを4回復する（最大値を超えない）","なし","攻撃"
"Hisaの静かな圧","誇りを7減らす。怒りを3獲得する","なし","攻撃"
"たけちゃんのほいでねノイローゼ","誇りを7減らす","なし","攻撃"
"てるぞーの照れ隠し","誇りを4減らす。自分の誇りを8回復する（最大値を超えない）","なし","攻撃"
"りおんの起死回生","誇りを7減らす。自分の誇りが半分以下のとき、追加で3減らす","なし","攻撃"
"バクの夢喰い","誇りを7減らす。相手の次のターンのコスト予算を2減らす","なし","攻撃"
"さちよの包容力","自分の誇りを12回復する（最大値を超えない）","なし","強化"
"うえむのクレーム叩きつけタイム","誇りを6減らす。相手の手札を見る。次に受けるダメージを3軽減する","なし","攻撃"
"みとの変態発言","誇りを7減らす。相手の次の怒り獲得を2打ち消す","なし","攻撃"
"ピッコーの奇襲","誇りを5減らす。次に使う攻撃カードのコストを2軽減する","なし","攻撃"
"臥龍の眼光","誇りを8減らす。次に受けるダメージを6軽減する","なし","攻撃"
"レジェンド覚醒","発動ターンを含む5ターンの間、与えるダメージ2倍・受けるダメージ半減","なし","強化"
